enzymes	ranges	minUsage	maxUsage
3HPPtex_EXP_4	16.3083696791703	0	16.3083696791703
3HPPtex_REV_EXP_1	67.4691474156423	0	67.4691474156423
3HPPtex_REV_EXP_2	136.800484633511	0	136.800484633511
3HPPtex_REV_EXP_3	12.1933786621615	0	12.1933786621615
3HPPtex_REV_EXP_4	15.170099406607	0	15.170099406607
3HPPtpp	0.149808930252009	0	0.149808930252009
3KGK	0	0	0
3NTD2pp_EXP_1	0	0	0
3NTD2pp_EXP_2	0	0	0
3NTD4pp_EXP_1	0	0	0
3NTD4pp_EXP_2	0	0	0
3NTD4pp_EXP_3	0	0	0
3NTD7pp_EXP_1	0	0	0
3NTD7pp_EXP_2	0	0	0
3NTD9pp_EXP_1	0	0	0
3NTD9pp_EXP_2	0	0	0
3OAR100	0.0349401581283522	0	0.0349401581283522
3OAR100_REV	0.0349401581283502	0	0.0349401581283502
3OAR120	0.045515336014443	0	0.045515336014443
3OAR120_REV	0.0409730121933006	0	0.0409730121933006
3OAR121	0.021860905076408	0	0.021860905076408
3OAR140	0.0618311723193982	0.00700416	0.0688353323193982
3OAR140_REV	0.0460027100432238	0	0.0460027100432238
3OAR141	0.021860905076408	0	0.021860905076408
3OAR160	0.0637519200346495	0	0.0637519200346495
3OAR160_REV	0.0460027100432256	0	0.0460027100432256
3OAR161	0.0647065531080329	0	0.0647065531080329
3OAR180	0.0606499494419389	0	0.0606499494419389
3OAR180_REV	0.0460027100432256	0	0.0460027100432256
3OAR181	0.0587098653955823	0	0.0587098653955823
3OAR40	0.0460027100432251	0	0.0460027100432251
3OAR40_REV	0.0460027100432257	0	0.0460027100432257
3OAR60	0.0349401581277486	0	0.0349401581277486
3OAR60_REV	0.0349401581277424	0	0.0349401581277424
3OAR80	0.0570652613115435	0	0.0570652613115435
3OAR80_REV	0.0570652612507229	0	0.0570652612507229
3OAS100_EXP_1	0.0252477418062469	0	0.0252477418062469
3OAS100_EXP_2	0.0252470754000324	0	0.0252470754000324
3OAS120_EXP_1	0.0455132435014184	0	0.0455132435014184
3OAS120_EXP_2	0.0455153360144399	0	0.0455153360144399
3OAS121	0.021860905076408	0	0.021860905076408
3OAS140_EXP_1	0.0688353330666779	0	0.0688353330666779
3OAS140_EXP_2	0.0688308654673035	0	0.0688308654673035
3OAS141	0.021860905076408	0	0.021860905076408
3OAS160_EXP_1	0.0637519200346421	0	0.0637519200346421
3OAS160_EXP_2	0.0637478308337281	0	0.0637478308337281
3OAS161	0.0647065531080329	0	0.0647065531080329
3OAS180_EXP_1	0.0606459884415816	0	0.0606459884415816
3OAS180_EXP_2	0.060649949441925	0	0.060649949441925
3OAS181	0.0587098653955823	0	0.0587098653955823
3OAS60_EXP_1	0.0130237431097462	0	0.0130237431097462
3OAS60_EXP_2	0.0130239202693179	0	0.0130239202693179
3OAS80_EXP_1	0.0130239204400542	0	0.0130239204400542
3OAS80_EXP_2	0.0130237431097438	0	0.0130237431097438
3OXCOAT	0	0	0
3PEPTabcpp_EXP_1_Partial_1	0.0604807557869725	0	0.0604807557869725
3PEPTabcpp_EXP_1_Partial_2	0.0604807557869725	0	0.0604807557869725
3PEPTabcpp_EXP_1_Partial_3	0.0604807557869725	0	0.0604807557869725
3PEPTabcpp_EXP_1_Partial_4	0.0604807557869725	0	0.0604807557869725
3PEPTabcpp_EXP_2_Partial_1	0.0605363254778345	0	0.0605363254778345
3PEPTabcpp_EXP_2_Partial_2	0.0605363254778345	0	0.0605363254778345
3PEPTabcpp_EXP_2_Partial_3	0.0605363254778345	0	0.0605363254778345
3PEPTabcpp_EXP_2_Partial_4	0.0605363254778345	0	0.0605363254778345
3PEPTabcpp_EXP_2_Partial_5	0.0605363254778345	0	0.0605363254778345
3PEPTabcpp_EXP_3_Partial_1	0.0605272070440487	0	0.0605272070440487
3PEPTabcpp_EXP_3_Partial_2	0.0605272070440487	0	0.0605272070440487
3PEPTabcpp_EXP_3_Partial_3	0.0605272070440487	0	0.0605272070440487
3PEPTabcpp_EXP_3_Partial_4	0.0605272070440487	0	0.0605272070440487
3PEPTabcpp_EXP_3_Partial_5	0.0605272070440487	0	0.0605272070440487
3PEPTtex_EXP_1	77.6838120234584	0	77.6838120234584
3PEPTtex_EXP_2	23.1070245124547	0	23.1070245124547
3PEPTtex_EXP_3	19.4616490956458	0	19.4616490956458
3PEPTtex_EXP_4	63.7717686271988	0	63.7717686271988
3PEPTtex_REV_EXP_1	77.6838130723012	0	77.6838130723012
3PEPTtex_REV_EXP_2	23.3617932721581	0	23.3617932721581
3PEPTtex_REV_EXP_3	19.4616488830251	0	19.4616488830251
3PEPTtex_REV_EXP_4	63.1391250990674	0	63.1391250990674
3SLAR	0	0	0
3UMPtex_EXP_1	77.6838130723007	0	77.6838130723007
3UMPtex_EXP_2	23.9728947514374	0	23.9728947514374
3UMPtex_EXP_3	19.4616490956464	0	19.4616490956464
3UMPtex_EXP_4	63.1391242122016	0	63.1391242122016
3UMPtex_REV_EXP_1	77.683812192129	0	77.683812192129
3UMPtex_REV_EXP_2	65.026312972027	0	65.026312972027
3UMPtex_REV_EXP_3	19.4616490956442	0	19.4616490956442
3UMPtex_REV_EXP_4	63.1391242210217	0	63.1391242210217
42A12BOOXpp	0	0	0
4ABZGLUH_Partial_1	4.35738846196062	0	4.35738846196062
4ABZGLUH_Partial_2	4.35738846196062	0	4.35738846196062
4ABZGLUH_REV_Partial_1	4.35738846196117	0	4.35738846196117
4ABZGLUH_REV_Partial_2	4.35738846196117	0	4.35738846196117
4ABZGLUtex_EXP_1	101.063427902564	0	101.063427902564
4ABZGLUtex_EXP_2	10.1977579159431	0	10.1977579159431
4ABZGLUtex_EXP_3	141.890072684937	0	141.890072684937
4ABZGLUtex_EXP_4	14.2099324380968	0	14.2099324380968
4ABZGLUtex_REV_EXP_1	134.143417811678	0	134.143417811678
4ABZGLUtex_REV_EXP_2	9.7551774756493	0	9.7551774756493
4ABZGLUtex_REV_EXP_3	141.890072684094	0	141.890072684094
4ABZGLUtex_REV_EXP_4	13.3406952120674	0	13.3406952120674
4ABZGLUtr	0.234790984142506	0	0.234790984142506
4ABZGLUtr_REV	0.234790987308395	0	0.234790987308395
4HBZt3pp_Partial_1	0	0	0
4HBZt3pp_Partial_2	0	0	0
4HOXPACDtex_EXP_1	1000	0	1000
4HOXPACDtex_EXP_2	10.703028202268	0	10.703028202268
4HOXPACDtex_EXP_3	31.3165422952628	0	31.3165422952628
4HOXPACDtex_EXP_4	763.539630657781	0	763.539630657781
4HOXPACDtex_REV_EXP_1	1000	0	1000
4HOXPACDtex_REV_EXP_2	10.7581872599209	0	10.7581872599209
4HOXPACDtex_REV_EXP_3	130.724240761307	0	130.724240761307
4HOXPACDtex_REV_EXP_4	763.539631501759	0	763.539631501759
4HTHRA	1.31410045863504	0	1.31410045863504
4HTHRA_REV	1.31412052863506	0	1.31412052863506
4HTHRK	6.0210000000005e-05	0	6.0210000000005e-05
4PCP	0.0616410521325617	0	0.0616410521325617
4PCPpp	0.0549925716256538	0	0.0549925716256538
4PEPTabcpp_EXP_1_Partial_1	0.0575608486568409	0	0.0575608486568409
4PEPTabcpp_EXP_1_Partial_2	0.0575608486568409	0	0.0575608486568409
4PEPTabcpp_EXP_1_Partial_3	0.0575608486568409	0	0.0575608486568409
4PEPTabcpp_EXP_1_Partial_4	0.0575608486568409	0	0.0575608486568409
4PEPTabcpp_EXP_1_Partial_5	0.0575608486568409	0	0.0575608486568409
4PEPTabcpp_EXP_2_Partial_1	0.0575188366519762	0	0.0575188366519762
4PEPTabcpp_EXP_2_Partial_2	0.0575188366519762	0	0.0575188366519762
4PEPTabcpp_EXP_2_Partial_3	0.0575188366519762	0	0.0575188366519762
4PEPTabcpp_EXP_2_Partial_4	0.0575188366519762	0	0.0575188366519762
4PEPTtex_EXP_1	77.683812023468	0	77.683812023468
4PEPTtex_EXP_2	9.67376547324258	0	9.67376547324258
4PEPTtex_EXP_3	19.4616490955251	0	19.4616490955251
4PEPTtex_EXP_4	63.1391249360111	0	63.1391249360111
4PEPTtex_REV_EXP_1	77.6838128703354	0	77.6838128703354
